,id,question,label,group,prediction,correct
16,SP-7_SR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  In front of an old saloon, a horse is chained to a five-meter rope. Hay bale is ten meters behind the horse. The horse can eat the hay whenever he wants without severing his rope. How is that even possible?

What is the correct answer to the question from the following choices?
(A) The walls of the saloon retract or collapse inwards, creating more space for the horse to reach the hay.
(B) The rope is not tied to anything else.
(C) The rope stretches proportionally, providing the extra length needed for the horse to reach the hay ten meters away.
(D) [MASK]
.",1,SR,2,0
17,SP-7_CR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  If a boat is parked in a marina and tied to a nearby station, how did its owner found the boat a couple of hours later in the middle of the ocean?

What is the correct answer to the question from the following choices?
(A) The intense weather conditions flood the marina.
(B) The boat is towed by police.
(C) The station wasn't fixed in the marina
(D) [MASK]
.",2,CR,2,1
18,SP-8,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  All of Mrs. Smith pets are dogs except one, and all her pets are cats except one. But Mrs.Smith only has 2 pets, how is that possible?

What is the correct answer to the question from the following choices?
(A) Mrs.Smith has one additional pet that is neither a dog or a cat.
(B) Mrs.Smith has one hybrid pet that is a dog and a cat at the same time.
(C) Mrs. Smith has one cat and one dog.
(D) [MASK]
.",2,OG,0,0
19,SP-8_SR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  All but one of Mrs. Smith's pets are dogs, and all but one are cats. But how is it possible that Mrs. Smith only has two pets?

What is the correct answer to the question from the following choices?
(A) Mrs.Smith has one hybrid pet that is a dog and a cat at the same time.
(B) Mrs.Smith has one additional pet that is neither a dog or a cat.
(C) Mrs. Smith has one cat and one dog.
(D) [MASK]
.",2,SR,0,0
20,SP-8_CR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  All but one of Mr. Brown's cars are red, and all but one are blue. However, Mr. Brown only has two cars. How is this possible?

What is the correct answer to the question from the following choices?
(A) Mrs.Smith has one additional car that is neither a red or a blue.
(B) Mrs.Smith has one car that is blue and red at the same time.
(C) Mr. Brown has one red car and one blue car.
(D) [MASK]
.",2,CR,0,0
21,SP-9,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  The 22nd and 24th presidents of the United States of America had the same parents, but were not brothers. How can this be possible?

What is the correct answer to the question from the following choices?
(A) They were the same man.
(B) Their parents got divorced.
(C) The 24th president has better performance during tenure.
(D) [MASK]
.",0,OG,0,1
22,SP-9_SR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  Despite sharing the same parents, the 22nd and 24th presidents of the United States of America were not related. How is this even conceivable?

What is the correct answer to the question from the following choices?
(A) The 24th president has better performance during tenure.
(B) Their parents got divorced.
(C) They were the same man.
(D) [MASK]
.",2,SR,2,1
23,SP-9_CR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  The coaches of the first and the fifth national basket ball champion shares the same parents, but were not brothers. How can this be possible?

What is the correct answer to the question from the following choices?
(A) The first coach has better performance during tenure.
(B) Their parents got divorced.
(C) They were the same man.
(D) [MASK]
.",2,CR,2,1
24,SP-10,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  There were eight girls going to school. They were sharing one umbrella. How come all the girls did not get wet?

What is the correct answer to the question from the following choices?
(A) The eight girls could have been sharing the umbrella at different times or taking turns using it.
(B) Because it was not raining.
(C) The umbrella that the girls were sharing was exceptionally large or had a wide canopy.
(D) [MASK]
.",1,OG,0,0
25,SP-10_SR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  Eight girls attended the school. They were using the same umbrella. Why did none of the females get wet?

What is the correct answer to the question from the following choices?
(A) The eight girls could have been sharing the umbrella at different times or taking turns using it.
(B) Because it was not raining.
(C) The umbrella that the girls were sharing was exceptionally large or had a wide canopy.
(D) [MASK]
.",1,SR,0,0
26,SP-10_CR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  Eight people were sitting under a large tree. Suddenly, a gust of wind blows, yet none of them got hit by any falling leaves. How is this possible?

What is the correct answer to the question from the following choices?
(A) It was winter and the tree doesn't have any leaves.
(B) People were camping under the tree.
(C) [MASK]
(D) None of above.",0,CR,0,1
27,SP-11,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  A black dog stands in the middle of an intersection in a town painted black. None of the street lights are working due to a power failure caused by a storm. A car with two broken headlights drives towards the dog but turns in time to avoid hitting him. How could the driver have seen the dog in time?

What is the correct answer to the question from the following choices?
(A) It was during the daylight hours.
(B) The driver could have relied on their sense of hearing to detect the presence of the dog.
(C) The broken headlights can emit a small amount of light, even if it's dim. 
(D) [MASK]
.",0,OG,0,1
28,SP-11_SR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  A town that has been painted black has a black dog standing in the midst of an intersection. Due to a storm-related power outage, none of the street lights are functioning. When a car with two broken headlights approaches the dog, it turns away in time to miss him. How was the dog able to be seen by the driver in time?

What is the correct answer to the question from the following choices?
(A) The driver could have relied on their sense of hearing to detect the presence of the dog.
(B) The broken headlights can emit a small amount of light, even if it's dim. 
(C) It was during the daylight hours.
(D) [MASK]
.",2,SR,2,1
29,SP-11_CR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  Within Joshua Tree National Park, a couple is driving. Because there is no light in the area to improve the view, the Joshua Tree National area is well known for its starry sky. The couple travels here for the first time, and the roads are rough. Their vehicle's headlights are damaged. How did they manage to prevent being crushed?

What is the correct answer to the question from the following choices?
(A) The moonlight can provide additional visibility.
(B) It was during the daylight hours.
(C) Their eyes have the ability to adapt to low-light conditions over time.
(D) [MASK]
.",1,CR,2,0
30,SP-12,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  On a fine sunny day a ship was in the harbor. All of a sudden the ship began to sink. There was no storm and nothing wrong with the ship yet it sank right in front of the spectators eyes. What caused the ship to sink?

What is the correct answer to the question from the following choices?
(A) It was a Submarine.
(B) There are too many fish around the ship.
(C) There are too many spectators in the harbor.
(D) [MASK]
.",0,OG,0,1
31,SP-12_SR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  The ship was in the harbor on a beautiful sunny day. The ship suddenly started to sink. The ship sank in front of the onlookers despite there being no storm or mechanical issue. What led to the ship's sinking?

What is the correct answer to the question from the following choices?
(A) There are too many fish around the ship.
(B) [MASK]
(C) It was a Submarine.
(D) None of above.",2,SR,2,1
32,SP-12_CR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  The ship was in the central Pacific Ocean. The ship suddenly began to sink without being crushed. However, each team was still preoccupied with its own tasks, so none was threatening. Why?

What is the correct answer to the question from the following choices?
(A) An underwater earthquake caused a rapid drop in the water level and resulted in the loss of buoyancy for the ship.
(B) It was a Submarine.
(C) [MASK]
(D) None of above.",1,CR,0,0
33,SP-13,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  A man who lived on the top floor of a twenty story building had to go up and down daily for work, and of course, for food and the other necessities. On most days he could only ride the elevator to the fifteenth story, and he would have to walk the rest of the way. When it rained, however, he could ride all the way up to the twentieth story. Why?

What is the correct answer to the question from the following choices?
(A) During rainy weather, the elevator was programmed to automatically bypass certain floors above the fifteenth story. 
(B) The building had a system in place where, during rainy conditions, certain residents were granted exclusive access to the higher floors. 
(C) The man wasn't tall enough to reach the button for the 20th floor. He could only reach the 15th story button on the elevator. When it rained, he brought his umbrella, and used it to press the 20th story button on the elevator.
(D) [MASK]
.",2,OG,2,1
34,SP-13_SR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  A man who resided on the twenty-story building's top floor had to travel up and down each day for work, as well as for food and other requirements. He could only use the elevator up to the fifteenth story most days, after which he had to continue walking. However, he could ride all the way to the twentieth storey when it poured. Why?

What is the correct answer to the question from the following choices?
(A) During rainy weather, the elevator was programmed to automatically bypass certain floors above the fifteenth story. 
(B) The man wasn't tall enough to reach the button for the 20th floor. He could only reach the 15th story button on the elevator. When it rained, he brought his umbrella, and used it to press the 20th story button on the elevator.
(C) The building had a system in place where, during rainy conditions, certain residents were granted exclusive access to the higher floors. 
(D) [MASK]
.",1,SR,1,1
35,SP-13_CR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  A man uses the elevator since he is too old to use his crutch to ascend to the 12th floor. He is asked to hit the 17th button by a woman who is taller than him because she is unable to do it herself. Why?

What is the correct answer to the question from the following choices?
(A) The old man can reach the button with the help of his crutch.
(B) [MASK]
(C) The woman thinks pressing the 17th button in the elevator brings good luck or wards off bad luck.
(D) None of above.",0,CR,2,0
36,SP-15,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  Even if they are starving, natives living in the Arctic will never eat a penguin's egg. Why not?

What is the correct answer to the question from the following choices?
(A) Penguins only live in Antarctica.
(B) [MASK]
(C) Penguins and their eggs are not part of their traditional or cultural diet.
(D) None of above.",0,OG,2,0
37,SP-15_SR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  Natives of the Arctic will never eat a penguin's egg, not even if they are starving. Exactly why not?

What is the correct answer to the question from the following choices?
(A) Penguins only live in Antarctica.
(B) [MASK]
(C) Penguins and their eggs are not part of their traditional or cultural diet.
(D) None of above.",0,SR,2,0
38,SP-15_CR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  Even in the harshest of droughts, a man living in New York City would never drink from the Mississippi River. Why not?

What is the correct answer to the question from the following choices?
(A) Water from Mississippi river are not part of his traditional or cultural diet.
(B) The Mississippi River doesn't flow through New York City.
(C) [MASK]
(D) None of above.",1,CR,0,0
39,SP-17,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  There once was an evil wizard. He took 3 woman from their homes and turned them into rose bushes that looked exactly alike. He put them in his garden. One of the woman had a husband and children and begged the wizard to let her see them. He agreed. At night, he brought the woman to her house. In the morning he came and took her home. One day the husband decided to go rescue her. So he stuck into the wizard's garden. He looked and looked at the 3 identical rose bushes trying to figure out which could be his wife. Suddenly, he knew the answer and he took his wife home. How did he know which rose bush was his wife?

What is the correct answer to the question from the following choices?
(A) The husband knew which rose bush was his wife because it was the only one that leaned towards him as he approached
(B) The wizard brought the rosebush to her home at night and returned her to the garden in the morning. Therefore, she was the only plant without dew.
(C) The husband knew which rose bush was his wife because it was the only one that still had her distinctive scent.
(D) [MASK]
.",1,OG,0,0
40,SP-17_SR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  There was once a bad wizard. He abducted three women from their homes and transformed them into identical rose plants. They were placed in his garden. One of the women pleaded with the magician to allow her to see her husband and kids. He concurred. He took the woman to her home at night. He arrived early in the morning and drove her home. The spouse made the decision to go get her one day. He entered the wizard's garden as a result. He kept glancing at the three identical rose bushes, trying to determine which one might be his wife. He took his wife home as soon as he realized the solution. How did he recognize his wife among the rosebushes?

What is the correct answer to the question from the following choices?
(A) The husband knew which rose bush was his wife because it was the only one that still had her distinctive scent.
(B) The wizard brought the rosebush to her home at night and returned her to the garden in the morning. Therefore, she was the only plant without dew.
(C) The husband knew which rose bush was his wife because it was the only one that leaned towards him as he approached
(D) [MASK]
.",1,SR,0,0
41,SP-17_CR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  Several harvested radishes were once stolen from a neighbor by a slothful farmer. The radishes were missing, so his neighbor reported it to the police. The farmer told the authorities that the radishes came from his own farm this morning. Even though he planted radishes on his own farm, he was nonetheless detained by the police anyway. How?

What is the correct answer to the question from the following choices?
(A) The farmer's farm did not have suitable conditions for growing radishes.
(B) There are no dew on the raddishes, so they were not harvested from his own farm on the morning.
(C) Radishes don't grow during the current season.
(D) [MASK]
.",1,CR,1,1
42,SP-18,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  There are 3 apples for 2 sons and 2 fathers to eat. Each of them get their own apple. How is it numerically possible?

What is the correct answer to the question from the following choices?
(A) Two sons shared the same apple.
(B) They are one son, one father and one grandfather.
(C) [MASK]
(D) None of above.",1,OG,0,0
43,SP-18_SR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  There are 3 apples available for 2 fathers and 2 boys to consume. They each receive a single apple. How is it a mathematical possibility?

What is the correct answer to the question from the following choices?
(A) Two sons shared the same apple.
(B) [MASK]
(C) They are one son, one father and one grandfather.
(D) None of above.",2,SR,0,0
44,SP-18_CR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  Two mothers and two daughters were asking for new state IDs, but the agent only gave out three forms and instructed them on how to fill them out. Why?

What is the correct answer to the question from the following choices?
(A) They are one daughters, one mother and one grandmother.
(B) Two girls filled the from together.
(C) [MASK]
(D) None of above.",0,CR,0,1
45,SP-20,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  A man moved into a new house and decided he was tired after the journey and turned off all the lights and went to bed. The next morning he killed 365 people, he does not sleep walk he slept like a baby. How could this be?

What is the correct answer to the question from the following choices?
(A) The man could be a calendar maker. He accidentally excluding February 29th on a leap year's calendar before sleep. This ""killed"" the day for 365 people.
(B) The man is a world-renowned botanist who has just moved into a new house with a rare greenhouse containing 365 unique and endangered plant species.
(C) [MASK]
(D) None of above.",2,OG,0,0
46,SP-20_SR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  After moving into a new home, a man decided that he was exhausted from the trip and turned out all the lights before retiring to bed. He did not sleepwalk the night before he killed 365 people; instead, he slept soundly. How is this possible?

What is the correct answer to the question from the following choices?
(A) He lived in a light house.
(B) The man is a world-renowned botanist who has just moved into a new house with a rare greenhouse containing 365 unique and endangered plant species.
(C) The man could be a calendar maker. He accidentally excluding February 29th on a leap year's calendar. This ""killed"" the day for 365 people.
(D) [MASK]
.",0,SR,2,0
47,SP-20_CR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  Every night, a man would sleep with a light on, as bright as the sun, dazzling the neighbors. But why did his neighbors never complain?

What is the correct answer to the question from the following choices?
(A) All his neighbors are blind.
(B) The man would wake up early.
(C) He lived in a light house.
(D) [MASK]
.",2,CR,0,0
48,SP-21,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  Joe and Sally were sitting in their family room one night. While Joe was watching T.V, his wife Sally was reading. All of a sudden the power went out and Joe decided to go to bed, but Sally kept on reading. With no use of artificial light, Sally kept on reading. How?

What is the correct answer to the question from the following choices?
(A) Sally is smart that she pretended to reading the book.
(B) Sally was blind, she was reading a book by Braille.
(C) Because it was daytime.
(D) [MASK]
.",1,OG,0,0
49,SP-21_SR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  One evening, Joe and Sally were relaxing in their family room. Sally, Joe's wife, was reading while he was watching television. The moment the electricity went out, Joe made the decision to retire to bed, but Sally continued to read. Sally carried on reading without using any artificial lighting. How?

What is the correct answer to the question from the following choices?
(A) Because it was daytime.
(B) Sally was blind, she was reading a book by Braille.
(C) Sally is smart that she pretended to reading the book.
(D) [MASK]
.",1,SR,2,0
50,SP-21_CR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  Jessica will read the Bible every night before bed. Jessica had forgotten to buy candles for a backup one day when the electricity went out, but she still read a chapter before turning in. How is that even doable?

What is the correct answer to the question from the following choices?
(A) Sally is smart that she remembered all chapters in Bible.
(B) Because it was daytime.
(C) Sally was blind, she was reading a book by Braille.
(D) [MASK]
.",2,CR,0,0
51,SP-22,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  Two men were playing tennis. They played five sets and each man won three sets. How can this be possible?

What is the correct answer to the question from the following choices?
(A) The two men were partners playing doubles.
(B) They were playing tennis in turns.
(C) They followed a round-robin format, where each player competes against every other player in the tournament.
(D) [MASK]
.",0,OG,0,1
52,SP-22_SR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  The tennis match involved two men. Each man won three sets in the five that were played. How is this even conceivable?

What is the correct answer to the question from the following choices?
(A) The two men were partners playing doubles.
(B) TUmNioAvy4g4yjtpm7NddBi9chAAB9RUep
(C) They followed a round-robin format, where each player competes against every other player in the tournament.
(D) [MASK]
.",0,SR,0,1
53,SP-22_CR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  Four people sat down to play a board game. They played four rounds and each person won twice. How can this be possible?

What is the correct answer to the question from the following choices?
(A) The four people were playing in two teams of two each. Each team won twice.
(B) Some rounds ended in ties or draws.
(C) [MASK]
(D) None of above.",0,CR,0,1
54,SP-23,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  A simple peasant bought a number of camels and is taking them to his farm. As he rides contentedly along he counts them - he counts 29. He was sure he had bought 30 camel, so in alarm he jumps off his camel and counts the camels again. To his delight there are 30. Half an hour later, he counts his camels and once more there are just 29. Confused, he climbs off his camel and counts again. Once more there are 30. Can you explain?

What is the correct answer to the question from the following choices?
(A) One camel had moved away from the group when the peasant was counting.
(B) The peasant is mistakenly considering himself as one of the camels when he counts them.
(C) When he is on the camel he omits to count it.
(D) [MASK]
.",2,OG,0,0
55,SP-23_SR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  A common peasant recently purchased many camels and is transporting them to his land. He counts them as he travels happily and finds that there are 29 of them. He leaps off his camel in fright after thinking he had purchased 30 camels and counts them once more. He is delighted to find 30. He counts his camels again thirty minutes later, and this time there are only 29. He dismounts his camel in confusion and counts once more. There are 30 once more. Can you elaborate?

What is the correct answer to the question from the following choices?
(A) One camel had moved away from the group when the peasant was counting.
(B) The peasant is mistakenly considering himself as one of the camels when he counts them.
(C) When he is on the camel he omits to count it.
(D) [MASK]
.",2,SR,1,0
56,SP-23_CR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  Each of the 30 participants in the masquerade had to wear a unique hat to distinguish themselves from one another. The host, however, only tallied 29 when he counted the number of hats to determine attendance. All 30 persons had signed their names on the spreadsheet, which confused him. He repeated the count. There are still 29. How is that even doable?

What is the correct answer to the question from the following choices?
(A) One person had a pretty beautiful hat. 
(B) The host had a hat himself and he forget to count it.
(C) One person had moved away from the group when the host was counting.
(D) [MASK]
.",1,CR,1,1
57,SP-24,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  One day a little boy named John went over to his parents and said that he wanted to shoot people and blow them up. His parents were really proud of his career choice. keep in mind that his parents were not very violent people. Why?

What is the correct answer to the question from the following choices?
(A) John wanted to be a photographer.
(B) John wants to be a video game designer  and his parent are addicted to vedio gams.
(C) The parents known John was kiding and didn't pay attention.
(D) [MASK]
.",0,OG,2,0
58,SP-24_SR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  When John, a young child, told his parents he intended to shoot and blow up people, they were shocked. His parents were really happy with his professional decision. Remember, his parents weren't exactly aggressive folks. Why?

What is the correct answer to the question from the following choices?
(A) John wants to be a video game designer  and his parent are addicted to vedio gams.
(B) The parents known John was kiding and didn't pay attention.
(C) John wanted to be a photographer.
(D) [MASK]
.",2,SR,0,0
59,SP-24_CR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  When Laura, a bright young girl, shared with her parents that she intended to slice, dice, and gut for a living, they were taken aback. However, they quickly expressed their excitement for her future career. Keep in mind, her parents were not particularly violent people. Why?

What is the correct answer to the question from the following choices?
(A) Laura wanted to be a surgeon.
(B) The parents known Laura was kiding and didn't pay attention.
(C) Her parents thought the job has high salary so they are excited.
(D) [MASK]
.",0,CR,0,1
60,SP-25,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  Brad started through the dirty sort-shared window on the 22nd floor of the office tower. Overcome with depression he slid the window open and jumped through it. It was a sheer drop outside the building to the ground. Miraculously after he landed he was completely uninjured. Since there was nothing to cushion his fall or slow his descent, how could he have survived the fall?

What is the correct answer to the question from the following choices?
(A) [MASK]
(B) Brad was so sick and tired of window washing, he opened the window and jumped inside.
(C) Consistent exercise has made him a very strong man.
(D) None of above.",1,OG,1,1
61,SP-25_SR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  Brad began by entering the office tower's 22nd story through the filthy common window. He slid the window open and leapt through it after becoming depressed. Outside the building, there was a cliff-like drop to the ground. Amazingly, he came to rest entirely unharmed. How could he have survived the fall if there was nothing to slow or cushion his descent?

What is the correct answer to the question from the following choices?
(A) Brad was so sick and tired of window washing, he opened the window and jumped inside.
(B) The ground outside the building is wet.
(C) [MASK]
(D) None of above.",0,SR,0,1
62,SP-25_CR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  Lily stood on the edge of the 18th floor of the high-rise apartment complex. Overwhelmed with fatigue, she opened the balcony door and stepped through. It was a steep drop from the balcony to the pavement below. Amazingly, after stepping, she was unscathed. Given that there was nothing to soften her landing or slow her descent, how could she have survived the step?

What is the correct answer to the question from the following choices?
(A) Consistent exercise has made him a very strong man.
(B) [MASK]
(C) Lily was exhausted from apartment cleaning, she opened the balcony door and stepped inside.
(D) None of above.",2,CR,2,1
63,SP-26,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  A horse jumps over a tower and the tower disappears. It's not an illusion or a dream. So where could this happen?

What is the correct answer to the question from the following choices?
(A) On the moon.
(B) [MASK]
(C) Under the sea.
(D) None of above.",1,OG,0,0
64,SP-26_SR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  A tower is jumped over by a horse, and the tower vanishes. It's not a dream or an illusion. So where might this occur?

What is the correct answer to the question from the following choices?
(A) On the moon.
(B) On a chessboard.
(C) [MASK]
(D) None of above.",1,SR,0,0
65,SP-26_CR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  A tower suddenly moves directly to another tower, and the tower hitted vanishes. It's not a dream or an illusion. So where might this occur??

What is the correct answer to the question from the following choices?
(A) On the moon.
(B) On a chessboard.
(C) Under the sea.
(D) [MASK]
.",1,CR,0,0
